"CN","type","plat","TP"
"C_143","Solid tumor","Agilent","Solid tumor_Agilent"
"C_144","Solid tumor","Agilent","Solid tumor_Agilent"
"C_145","Solid tumor","Agilent","Solid tumor_Agilent"
"C_146","Solid tumor","Agilent","Solid tumor_Agilent"
"C_147","Solid tumor","Agilent","Solid tumor_Agilent"
"C_148","Solid tumor","Agilent","Solid tumor_Agilent"
"C_149","Solid tumor","Agilent","Solid tumor_Agilent"
"C_150","Solid tumor","Agilent","Solid tumor_Agilent"
"C_151","Solid tumor","Agilent","Solid tumor_Agilent"
"C_152","Solid tumor","Agilent","Solid tumor_Agilent"
"C_153","Solid tumor","Agilent","Solid tumor_Agilent"
"C_154","Solid tumor","Agilent","Solid tumor_Agilent"
"C_155","Solid tumor","Agilent","Solid tumor_Agilent"
"C_156","Solid tumor","Agilent","Solid tumor_Agilent"
"C_157","Solid tumor","Agilent","Solid tumor_Agilent"
"C_158","Solid tumor","Agilent","Solid tumor_Agilent"
"C_159","Solid tumor","Agilent","Solid tumor_Agilent"
"C_160","Solid tumor","Agilent","Solid tumor_Agilent"
"C_161","Solid tumor","Agilent","Solid tumor_Agilent"
"C_162","Solid tumor","Agilent","Solid tumor_Agilent"
"C_163","Solid tumor","Agilent","Solid tumor_Agilent"
"C_164","Solid tumor","Agilent","Solid tumor_Agilent"
"C_165","Solid tumor","Agilent","Solid tumor_Agilent"
"C_166","Solid tumor","Agilent","Solid tumor_Agilent"
"C_167","Solid tumor","Agilent","Solid tumor_Agilent"
"C_168","Solid tumor","Agilent","Solid tumor_Agilent"
"C_169","Solid tumor","Agilent","Solid tumor_Agilent"
"C_170","Solid tumor","Agilent","Solid tumor_Agilent"
"C_171","Solid tumor","Agilent","Solid tumor_Agilent"
"C_172","Solid tumor","Agilent","Solid tumor_Agilent"
"C_173","Solid tumor","Agilent","Solid tumor_Agilent"
"C_174","Solid tumor","Agilent","Solid tumor_Agilent"
"C_175","Solid tumor","Agilent","Solid tumor_Agilent"
"C_176","Solid tumor","Agilent","Solid tumor_Agilent"
"C_177","Solid tumor","Agilent","Solid tumor_Agilent"
"C_178","Solid tumor","Agilent","Solid tumor_Agilent"
"C_179","Solid tumor","Agilent","Solid tumor_Agilent"
"C_180","Solid tumor","Agilent","Solid tumor_Agilent"
"C_181","Solid tumor","Agilent","Solid tumor_Agilent"
"C_182","Solid tumor","Agilent","Solid tumor_Agilent"
"C_183","Solid tumor","Agilent","Solid tumor_Agilent"
"C_184","Solid tumor","Agilent","Solid tumor_Agilent"
"C_185","Solid tumor","Agilent","Solid tumor_Agilent"
"C_186","Solid tumor","Agilent","Solid tumor_Agilent"
"C_187","Solid tumor","Agilent","Solid tumor_Agilent"
"C_188","Solid tumor","Agilent","Solid tumor_Agilent"
"C_189","Solid tumor","Agilent","Solid tumor_Agilent"
"C_190","Solid tumor","Agilent","Solid tumor_Agilent"
"C_191","Solid tumor","Agilent","Solid tumor_Agilent"
"C_192","Solid tumor","Agilent","Solid tumor_Agilent"
"C_193","Solid tumor","Agilent","Solid tumor_Agilent"
"C_194","Solid tumor","Agilent","Solid tumor_Agilent"
"C_195","Solid tumor","Agilent","Solid tumor_Agilent"
"C_196","Solid tumor","Agilent","Solid tumor_Agilent"
"C_197","Solid tumor","Agilent","Solid tumor_Agilent"
"C_198","Solid tumor","Agilent","Solid tumor_Agilent"
"C_199","Solid tumor","Agilent","Solid tumor_Agilent"
"C_200","Solid tumor","Agilent","Solid tumor_Agilent"
"C_201","Solid tumor","Agilent","Solid tumor_Agilent"
"C_202","Solid tumor","Agilent","Solid tumor_Agilent"
"C_203","Solid tumor","Agilent","Solid tumor_Agilent"
"C_204","Solid tumor","Agilent","Solid tumor_Agilent"
"C_205","Solid tumor","Agilent","Solid tumor_Agilent"
"C_206","Solid tumor","Agilent","Solid tumor_Agilent"
"C_207","Solid tumor","Agilent","Solid tumor_Agilent"
"C_208","Solid tumor","Agilent","Solid tumor_Agilent"
"C_209","Solid tumor","Agilent","Solid tumor_Agilent"
"C_210","Solid tumor","Agilent","Solid tumor_Agilent"
"C_211","Solid tumor","Agilent","Solid tumor_Agilent"
"C_212","Solid tumor","Agilent","Solid tumor_Agilent"
"C_213","Solid tumor","Agilent","Solid tumor_Agilent"
"C_214","Solid tumor","Agilent","Solid tumor_Agilent"
"C_215","Solid tumor","Agilent","Solid tumor_Agilent"
"C_216","Solid tumor","Agilent","Solid tumor_Agilent"
"C_217","Solid tumor","Agilent","Solid tumor_Agilent"
"C_218","Solid tumor","Agilent","Solid tumor_Agilent"
"C_219","Solid tumor","Agilent","Solid tumor_Agilent"
"C_220","Solid tumor","Agilent","Solid tumor_Agilent"
"C_221","Solid tumor","Agilent","Solid tumor_Agilent"
"C_222","Solid tumor","Agilent","Solid tumor_Agilent"
"C_223","Solid tumor","Agilent","Solid tumor_Agilent"
"C_224","Solid tumor","Agilent","Solid tumor_Agilent"
"C_225","Solid tumor","Agilent","Solid tumor_Agilent"
"C_226","Solid tumor","Agilent","Solid tumor_Agilent"
"C_227","Solid tumor","Agilent","Solid tumor_Agilent"
"C_228","Solid tumor","Agilent","Solid tumor_Agilent"
"C_229","Solid tumor","Agilent","Solid tumor_Agilent"
"C_230","Solid tumor","Agilent","Solid tumor_Agilent"
"C_231","Solid tumor","Agilent","Solid tumor_Agilent"
"C_232","Solid tumor","Agilent","Solid tumor_Agilent"
"C_233","Solid tumor","Agilent","Solid tumor_Agilent"
"C_234","Solid tumor","Agilent","Solid tumor_Agilent"
"C_235","Solid tumor","Agilent","Solid tumor_Agilent"
"C_236","Solid tumor","Agilent","Solid tumor_Agilent"
"C_237","Solid tumor","Agilent","Solid tumor_Agilent"
"C_238","Solid tumor","Agilent","Solid tumor_Agilent"
"C_239","Solid tumor","Agilent","Solid tumor_Agilent"
"C_240","Solid tumor","Agilent","Solid tumor_Agilent"
"C_241","Solid tumor","Agilent","Solid tumor_Agilent"
"C_242","Solid tumor","Agilent","Solid tumor_Agilent"
"C_243","Solid tumor","Agilent","Solid tumor_Agilent"
"C_244","Solid tumor","Agilent","Solid tumor_Agilent"
"C_245","Solid tumor","Agilent","Solid tumor_Agilent"
"C_246","Solid tumor","Agilent","Solid tumor_Agilent"
"C_247","Solid tumor","Agilent","Solid tumor_Agilent"
